language,subject,items,n_questions,redundant_perc
English,1,4,10,100
English,1,16,10,100
English,2,4,10,0
English,2,16,10,0
English,3,4,10,100
English,3,16,10,100
English,4,4,10,10
English,4,16,10,80
English,5,4,10,0
English,5,16,10,90
English,6,4,10,0
English,6,16,10,70
English,7,4,10,100
English,7,16,10,100
English,8,4,10,0
English,8,16,10,100
English,9,4,10,0
English,9,16,10,100
English,10,4,10,0
English,10,16,10,70
English,11,4,10,10
English,11,16,10,100
English,12,4,10,100
English,12,16,10,100
English,13,4,10,0
English,13,16,10,70
English,14,4,10,100
English,14,16,10,100
English,15,4,10,0
English,15,16,10,0
English,16,4,10,0
English,16,16,10,90
English,17,4,10,100
English,17,16,10,100
English,18,4,10,100
English,18,16,10,100
English,19,4,10,100
English,19,16,10,100
English,20,4,10,0
English,20,16,10,0
English,21,4,10,0
English,21,16,10,100
English,22,4,10,0
English,22,16,10,100
Spanish,1,4,10,0
Spanish,1,16,10,40
Spanish,2,4,10,0
Spanish,2,16,10,10
Spanish,3,4,10,0
Spanish,3,16,10,70
Spanish,4,4,10,30
Spanish,4,16,10,100
Spanish,5,4,10,0
Spanish,5,16,10,100
Spanish,6,4,10,0
Spanish,6,16,10,90
Spanish,7,4,10,10
Spanish,7,16,10,90
Spanish,8,4,10,10
Spanish,8,16,10,80
Spanish,9,4,10,0
Spanish,9,16,10,90
Spanish,10,4,10,0
Spanish,10,16,10,90
Spanish,11,4,10,0
Spanish,11,16,10,0
Spanish,12,4,10,10
Spanish,12,16,10,90
Spanish,13,4,10,0
Spanish,13,16,10,0
Spanish,14,4,10,0
Spanish,14,16,10,100
Spanish,15,4,10,0
Spanish,15,16,10,20
Spanish,16,4,10,0
Spanish,16,16,10,70
Spanish,17,4,10,0
Spanish,17,16,10,0
Spanish,18,4,10,0
Spanish,18,16,10,40
Spanish,19,4,10,0
Spanish,19,16,10,100
Spanish,20,4,10,0
Spanish,20,16,10,100
Spanish,21,4,10,0
Spanish,21,16,10,70
Spanish,22,4,10,0
Spanish,22,16,10,0
